meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
5000.0,36.0,3.843,11.0,100.0,692.0,17.0,5ae2fae49d5e9703cfd6b63c,36.0,5000,1,4830.0,1
100.0,0.0,4.078,4.0,50.0,21.0,4.0,568b82677f5cdb26abff2f9a,0.0,200,2,22615.0,1
700.0,48.33,4.117,3.53,33.0,86.0,6.67,5abb2cf26be8733b5bf6844f,48.0,2100,3,31138.0,1
100.0,45.0,4.175,11.0,50.0,14.0,20.0,5b0e27596b9302238a10c3f8,45.0,200,2,3120.0,1
100.0,-14.0,4.368,8.0,50.0,3.0,7.0,58402f95e24c5b06c6dccd35,-14.0,200,2,619.0,1
100.0,3.2,3.956,3.81,40.0,33.0,3.6,56cd50871e15ff78c21de8a9,3.0,500,5,1047.0,2
100.0,-15.0,3.916,5.77,50.0,4.0,5.0,5b348167af6b3122dba38825,-15.0,200,2,8996.0,1
10000.0,-8.5,3.938,5.93,50.0,787.0,5.5,5810c46f02b01e15f8a10e38,-8.0,20000,2,7314.0,1
1000.0,0.0,3.905,5.0,100.0,102.0,5.0,564b2fb5c126a0127af8441e,0.0,1000,1,10320.0,1
1000.0,33.0,4.039,11.0,50.0,576.0,33.5,58c921126c30436b692b1ead,33.0,2000,2,16523.0,1
100.0,-16.0,4.155,7.0,33.0,25.0,6.0,5d8b2f16ddac8e198fc7c8b7,-16.0,300,3,483.0,1
100.0,77.0,4.361,11.0,50.0,23.0,47.0,5700b51a0848f73d19d10cbb,77.0,200,2,7197.0,1
1000.0,74.0,4.08,8.0,100.0,65.0,30.0,585a45a3ef562825c60e0c71,74.0,1000,1,2867.0,1
10.0,-14.0,3.548,16.0,33.0,3.0,14.0,5e61c817039ce2184a0ed392,-14.0,30,3,31.0,1
325.0,-13.5,3.852,8.5,25.0,92.0,7.5,54db03867851097093c0efe7,-13.0,1300,4,8989.0,1
400.0,-12.0,4.277,9.67,33.0,60.0,8.67,58b7d6dd3c18975a18817d64,-12.0,1200,3,794.0,1
70.0,12.0,3.874,7.2,60.0,4.0,8.4,5eb51ed929e7865dc268a561,12.0,350,5,127.0,3
